period,scenario,hdd_assumption,week_of_year,forecast_weekly_change_bcf,forecast_inventory_bcf,assumed_hdd_anomaly,weather_beta,as_of_date
2027-05-21,Severe,Severe weather,20,84.38813379004569,1654.1679360095704,3.583333333333336,-1.414229728248382,2026-05-29
2027-05-28,Severe,Severe weather,21,85.44336079865104,1739.6112968082216,3.60576923076923,-1.414229728248382,2026-05-29
2026-06-19,Base,Seasonal-normal weather,25,76.40148308070854,2835.4014830807087,-0.0903508771929824,-1.4141289413909046,2026-06-12
2026-06-26,Base,Seasonal-normal weather,26,66.03721726435974,2901.4387003450684,-1.2470588235294118,-1.4141289413909046,2026-06-12
2026-07-03,Base,Seasonal-normal weather,27,71.03344938269318,2972.4721497277615,-0.922962962962963,-1.4141289413909046,2026-06-12
2026-07-10,Base,Seasonal-normal weather,28,54.82589857135652,3027.298048299118,-0.4226190476190476,-1.4141289413909046,2026-06-12
2026-07-17,Base,Seasonal-normal weather,29,35.710628901037914,3063.008677200156,-0.2768199233716475,-1.4141289413909046,2026-06-12
2026-07-24,Base,Seasonal-normal weather,30,37.79749873499575,3100.8061759351517,-0.11324786324786325,-1.4141289413909046,2026-06-12
2026-07-31,Base,Seasonal-normal weather,31,38.65482227997919,3139.460998215131,-0.23735632183908045,-1.4141289413909046,2026-06-12
2026-08-07,Base,Seasonal-normal weather,32,41.3010172946894,3180.7620155098202,-0.5335968379446641,-1.4141289413909046,2026-06-12
2026-08-14,Base,Seasonal-normal weather,33,46.54696412327716,3227.3089796330974,-0.8682336182336182,-1.4141289413909046,2026-06-12
2026-08-21,Base,Seasonal-normal weather,34,52.367976120395134,3279.6769557534926,-1.223809523809524,-1.4141289413909046,2026-06-12
2026-08-28,Base,Seasonal-normal weather,35,53.598288344897114,3333.2752440983895,-0.4866666666666667,-1.4141289413909046,2026-06-12
2026-09-04,Base,Seasonal-normal weather,36,73.43702115988695,3406.7122652582766,-2.686932849364791,-1.4141289413909046,2026-06-12
2026-09-11,Base,Seasonal-normal weather,37,71.69662189412074,3478.4088871523973,1.5009578544061304,-1.4141289413909046,2026-06-12
2026-09-18,Base,Seasonal-normal weather,38,76.69413124827256,3555.10301840067,-3.09375,-1.4141289413909046,2026-06-12
2026-09-25,Base,Seasonal-normal weather,39,91.59683411159259,3646.6998525122626,-9.1,-1.4141289413909046,2026-06-12
2026-10-02,Base,Seasonal-normal weather,40,95.67595117736984,3742.3758036896324,-9.702380952380953,-1.4141289413909046,2026-06-12
2026-10-09,Base,Seasonal-normal weather,41,86.13361623399595,3828.5094199236282,-8.772435897435898,-1.4141289413909046,2026-06-12
2026-10-16,Base,Seasonal-normal weather,42,73.86623450163367,3902.375654425262,-5.883333333333333,-1.4141289413909046,2026-06-12
2026-10-23,Base,Seasonal-normal weather,43,63.09585649318846,3965.4715109184503,-6.4957142857142856,-1.4141289413909046,2026-06-12
2026-10-30,Base,Seasonal-normal weather,44,30.407327337393173,3995.8788382558437,0.25909090909090793,-1.4141289413909046,2026-06-12
2026-11-06,Base,Seasonal-normal weather,45,33.61031563720699,4029.4891538930506,-8.016666666666666,-1.4141289413909046,2026-06-12
2026-11-13,Base,Seasonal-normal weather,46,-7.729173410134997,4021.7599804829156,-10.733766233766232,-1.4141289413909046,2026-06-12
2026-11-20,Base,Seasonal-normal weather,47,-26.775473177373726,3994.9845073055417,-5.943840579710155,-1.4141289413909046,2026-06-12
2026-11-27,Base,Seasonal-normal weather,48,-44.03744078498679,3950.947066520555,-3.605000000000004,-1.4141289413909046,2026-06-12
2026-12-04,Base,Seasonal-normal weather,49,-102.52862018103076,3848.418446339524,-1.4576470588235395,-1.4141289413909046,2026-06-12
2026-12-11,Base,Seasonal-normal weather,50,-119.48563429237097,3728.932812047153,-7.24166666666666,-1.4141289413909046,2026-06-12
2026-12-18,Base,Seasonal-normal weather,51,-137.94763175873695,3590.9851802884164,6.231578947368419,-1.4141289413909046,2026-06-12
2026-12-25,Base,Seasonal-normal weather,52,-45.020864770782815,3545.9643155176336,-33.75999999999999,-1.4141289413909046,2026-06-12
2027-01-01,Base,Seasonal-normal weather,53,-1.4881136961468053,3544.476201821487,-1.0833333333333335,-1.4141289413909046,2026-06-12
2027-01-08,Base,Seasonal-normal weather,1,-111.78672853543668,3432.68947328605,-10.466666666666669,-1.4141289413909046,2026-06-12
2027-01-15,Base,Seasonal-normal weather,2,-151.44175585675023,3281.2477174293,-4.5,-1.4141289413909046,2026-06-12
2027-01-22,Base,Seasonal-normal weather,3,-172.85720815665186,3108.390509272648,-0.055555555555542924,-1.4141289413909046,2026-06-12
2027-01-29,Base,Seasonal-normal weather,4,-191.52815471300732,2916.862354559641,5.0,-1.4141289413909046,2026-06-12
2027-02-05,Base,Seasonal-normal weather,5,-172.34368035837016,2744.518674201271,-2.9090909090909065,-1.4141289413909046,2026-06-12
2027-02-12,Base,Seasonal-normal weather,6,-147.37471970196222,2597.143954499309,-10.72727272727272,-1.4141289413909046,2026-06-12
2027-02-19,Base,Seasonal-normal weather,7,-135.59185178778063,2461.5521027115283,-8.083333333333343,-1.4141289413909046,2026-06-12
2027-02-26,Base,Seasonal-normal weather,8,-141.58734302309725,2319.964759688431,13.035714285714278,-1.4141289413909046,2026-06-12
2027-03-05,Base,Seasonal-normal weather,9,-108.7805888699424,2211.184170818489,0.5666666666666629,-1.4141289413909046,2026-06-12
2027-03-12,Base,Seasonal-normal weather,10,-61.79782403980371,2149.386346778685,-14.517241379310349,-1.4141289413909046,2026-06-12
2027-03-19,Base,Seasonal-normal weather,11,-26.136131934956513,2123.2502148437284,-7.821428571428584,-1.4141289413909046,2026-06-12
2027-03-26,Base,Seasonal-normal weather,12,-27.716876622320893,2095.5333382214076,-1.3846153846153868,-1.4141289413909046,2026-06-12
2027-04-02,Base,Seasonal-normal weather,13,-8.142556112683046,2087.3907821087246,-1.7600000000000051,-1.4141289413909046,2026-06-12
2027-04-09,Base,Seasonal-normal weather,14,14.155013781210936,2101.5457958899356,3.379310344827587,-1.4141289413909046,2026-06-12
2027-04-16,Base,Seasonal-normal weather,15,45.94818419520479,2147.4939800851403,-8.25,-1.4141289413909046,2026-06-12
2027-04-23,Base,Seasonal-normal weather,16,50.71187529641132,2198.2058553815514,0.8333333333333286,-1.4141289413909046,2026-06-12
2027-04-30,Base,Seasonal-normal weather,17,71.09933438523326,2269.3051897667847,-2.299999999999997,-1.4141289413909046,2026-06-12
2027-05-07,Base,Seasonal-normal weather,18,74.83232717072546,2344.13751693751,-1.4347826086956488,-1.4141289413909046,2026-06-12
2027-05-14,Base,Seasonal-normal weather,19,87.71038685216126,2431.8479037896714,-1.1333333333333329,-1.4141289413909046,2026-06-12
2027-05-21,Base,Seasonal-normal weather,20,96.93863245373495,2528.7865362434063,-5.291666666666664,-1.4141289413909046,2026-06-12
2027-05-28,Base,Seasonal-normal weather,21,95.49194128881538,2624.2784775322216,-3.5,-1.4141289413909046,2026-06-12
2027-06-04,Base,Seasonal-normal weather,22,103.8122291526989,2728.0907066849204,-4.833333333333332,-1.4141289413909046,2026-06-12
2027-06-11,Base,Seasonal-normal weather,23,87.76800653607452,2815.858713220995,-3.4800000000000004,-1.4141289413909046,2026-06-12
2026-06-19,Mild,Mild weather,25,79.01359011433478,2838.013590114335,-1.9375,-1.4141289413909046,2026-06-12
2026-06-26,Mild,Mild weather,26,67.16377950802271,2905.1773696223577,-2.0437062937062938,-1.4141289413909046,2026-06-12
2026-07-03,Mild,Mild weather,27,71.21428021265295,2976.3916498350104,-1.0508373205741626,-1.4141289413909046,2026-06-12
2026-07-10,Mild,Mild weather,28,54.89381738233087,3031.285467217341,-0.4706477732793522,-1.4141289413909046,2026-06-12
2026-07-17,Mild,Mild weather,29,35.759385455820706,3067.044852673162,-0.3112980769230769,-1.4141289413909046,2026-06-12
2026-07-24,Mild,Mild weather,30,37.83707441035907,3104.881927083521,-0.1412337662337662,-1.4141289413909046,2026-06-12
2026-07-31,Mild,Mild weather,31,38.703605238617676,3143.5855323221385,-0.2718531468531468,-1.4141289413909046,2026-06-12
2026-08-07,Mild,Mild weather,32,41.530787218399084,3185.1163195405375,-0.696078431372549,-1.4141289413909046,2026-06-12
2026-08-14,Mild,Mild weather,33,46.733298777235355,3231.8496183177726,-1.0,-1.4141289413909046,2026-06-12
2026-08-21,Mild,Mild weather,34,52.68087510531653,3284.530493423089,-1.4450757575757576,-1.4141289413909046,2026-06-12
2026-08-28,Mild,Mild weather,35,55.73833680953535,3340.268830232624,-2.0,-1.4141289413909046,2026-06-12
2026-09-04,Mild,Mild weather,36,75.99503968636289,3416.263869918987,-4.495833333333334,-1.4141289413909046,2026-06-12
2026-09-11,Mild,Mild weather,37,76.73934609981666,3493.003216018804,-2.0650000000000004,-1.4141289413909046,2026-06-12
2026-09-18,Mild,Mild weather,38,85.4175391554777,3578.4207551742816,-9.2625,-1.4141289413909046,2026-06-12
2026-09-25,Mild,Mild weather,39,98.8088917126862,3677.2296468869677,-14.2,-1.4141289413909046,2026-06-12
2026-10-02,Mild,Mild weather,40,105.86675999617127,3783.096406883139,-16.90880217785844,-1.4141289413909046,2026-06-12
2026-10-09,Mild,Mild weather,41,95.72117971297617,3878.8175865961152,-15.552272727272724,-1.4141289413909046,2026-06-12
2026-10-16,Mild,Mild weather,42,84.55171394027187,3963.369300536387,-13.43956043956044,-1.4141289413909046,2026-06-12
2026-10-23,Mild,Mild weather,43,81.02328189919069,4044.392582435578,-19.173076923076923,-1.4141289413909046,2026-06-12
